Dataset,Model,Scope,Abstention_Cost,Macro-F1_Mean,Macro-F1_Std,Micro-F1_Mean,Micro-F1_Std,Hamming Loss_Mean,Hamming Loss_Std,Subset Accuracy_Mean,Subset Accuracy_Std,Example-F1_Mean,Example-F1_Std,train_time_Mean,train_time_Std,Abstentions-as-Zero Macro-F1_Mean,Abstentions-as-Zero Macro-F1_Std,Abstentions-as-Zero Micro-F1_Mean,Abstentions-as-Zero Micro-F1_Std,Generalized Loss_Mean,Generalized Loss_Std,Generalized Hamming Loss_Mean,Generalized Hamming Loss_Std,Selective Hamming Loss_Mean,Selective Hamming Loss_Std,Selective Macro-F1_Mean,Selective Macro-F1_Std,Selective Micro-F1_Mean,Selective Micro-F1_Std,Coverage_Mean,Coverage_Std,ABS_Mean,ABS_Std,AABS_Mean,AABS_Std,Abstention Rate_Mean,Abstention Rate_Std,Independent Label Count_Mean,Independent Label Count_Std,Dependent Label Count_Mean,Dependent Label Count_Std,Validation Full Macro-F1_Mean,Validation Full Macro-F1_Std
scene,MLC_PA,rejection,0.35,,,,,,,,,,,,,0.6443600080718008,0.01719041094564301,0.6447663151356637,0.01872949996358207,0.09431844683622252,0.0046467955518258,0.09431844683622252,0.0046467955518258,0.07197487565252783,0.004365822137147984,0.7300639649627821,0.01841551579682979,0.7381147962265346,0.02052313536951318,0.9196160435263359,0.005374240686772325,0.40500202283306175,0.02233097066803734,0.08038395647366411,0.005374240686772321,0.08038395647366411,0.005374240686772321,,,,,,
scene,MLC_PA,rejection,0.4,,,,,,,,,,,,,0.6686927182497137,0.01961223916743898,0.6667036530951289,0.02098896958178075,0.09669048223030731,0.005545642629963644,0.09669048223030731,0.005545642629963644,0.08023155728391616,0.004852584690977284,0.7216489325770282,0.018962087869603232,0.7247508717181729,0.02120387725224894,0.9484987383070729,0.004813435746414041,0.2745333562424622,0.01970244884126841,0.05150126169292711,0.00481343574641401,0.05150126169292711,0.00481343574641401,,,,,,
scene,GSI_MLC_PA,full,,0.7658720023787415,0.0182032914428833,0.7550120109601067,0.017549664417144575,0.08617838206958048,0.005952187993953587,0.6660446763750685,0.017216386558947416,0.7405055383808821,0.0211112420586107,22.513971471786498,0.3509167989052095,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,5.0,0.0,0.7503481255812482,0.020576180567295724
scene,GSI_MLC_PA,rejection,0.2,,,,,,,,,,,,,0.7223459777436251,0.018745922658333053,0.7162814840210734,0.01943114778243862,0.07094084542658514,0.0041147816347830955,0.07094084542658514,0.0041147816347830955,0.05916820796908963,0.0038053858157255246,0.8113029538871764,0.01322200745784645,0.8053518378277131,0.0157027229843413,0.9163235868069861,0.00701586736576603,0.37087702135690986,0.020567152756270274,0.08367641319301383,0.007015867365766035,0.08367641319301383,0.007015867365766035,,,,,,
scene,GSI_MLC_PA,rejection,0.25,,,,,,,,,,,,,0.7383048148679268,0.015973938839825747,0.7314069149222645,0.016676678336086298,0.07582161398239147,0.004225530524754145,0.07582161398239147,0.004225530524754145,0.06380604093463722,0.003929785411725606,0.8042226840343087,0.012610686649616095,0.7973585582042816,0.014398336545474797,0.9354203202365298,0.003861819692096568,0.30273907142762974,0.01999324299302375,0.06457967976347037,0.003861819692096544,0.06457967976347037,0.003861819692096544,,,,,,
scene,GSI_MLC_PA,rejection,0.3,,,,,,,,,,,,,0.747925873244553,0.017314137604123012,0.7403061501687113,0.01804032553995875,0.07962683721347232,0.005513790042751802,0.07962683721347232,0.005513790042751802,0.0682321767295981,0.005180025931351995,0.7965701455785188,0.015934928292661087,0.7892355862050005,0.017133679942063624,0.9507943474426422,0.003985213253182018,0.2387184619460904,0.026078505073912493,0.049205652557357704,0.003985213253182015,0.049205652557357704,0.003985213253182015,,,,,,
scene,GSI_MLC_PA,rejection,0.35,,,,,,,,,,,,,0.7543095647781063,0.020729732861160557,0.7455727018175826,0.020832011513938778,0.08323255750141077,0.006371418342634321,0.08323255750141077,0.006371418342634321,0.07358701978182727,0.0067514134375257695,0.7864419878656472,0.020246563671390754,0.7784218466855025,0.02093439762727785,0.9651215242879122,0.0039602285254302615,0.17727490069244897,0.01996335790124899,0.03487847571208781,0.003960228525430276,0.03487847571208781,0.003960228525430276,,,,,,
scene,GSI_MLC_PA,rejection,0.4,,,,,,,,,,,,,0.7611184956269786,0.018634040511951586,0.7522059104462114,0.01903708034738039,0.08487620521135282,0.006475701016549736,0.08487620521135282,0.006475701016549736,0.0772047866517992,0.0069778189080949085,0.7806909700000297,0.01883282350929028,0.7723621210610281,0.01993069572778272,0.9762539284372048,0.0022120679958348727,0.12544055925662953,0.008295462968004914,0.023746071562795318,0.0022120679958348628,0.023746071562795318,0.0022120679958348628,,,,,,
yeast,BR_MLP,full,,0.4382428178333562,0.007512872299526189,0.5322044979140998,0.007957348145681432,0.3803895071733917,0.007966240171389471,0.04924989557967981,0.01027552677766324,0.5261402277143272,0.007563471339952317,0.06132197380065918,0.009548707289544456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yeast,CC_MLP,full,,0.45863137408463783,0.008614530139938013,0.5956412956024388,0.006117198319363459,0.30677747874112604,0.006285540183803975,0.08566652921593358,0.009891646745835833,0.5913788718972341,0.0051067640878394915,0.45834717750549314,0.019694634347480575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
