Dataset,Model,Model_Name,Macro-F1_Mean,Macro-F1_Std,Micro-F1_Mean,Micro-F1_Std,Hamming Loss_Mean,Hamming Loss_Std,Subset Accuracy_Mean,Subset Accuracy_Std,Example-F1_Mean,Example-F1_Std,Macro Precision_Mean,Macro Precision_Std,Macro Recall_Mean,Macro Recall_Std
enron,CC,CC (LinearSVC),0.22530802327291757,0.00960443575751478,0.5143261614969845,0.008240954158779503,0.06000473594023623,0.0009805344427404265,0.1233843785503052,0.02156353173510477,0.5177290808662215,0.016795712692203393,0.25871721474272885,0.013554132733556754,0.21659103167783922,0.01603410241967756
enron,CC_MLP,CC (MLP),0.22244219771474652,0.011321683732331488,0.5591050584012281,0.0070740306311793165,0.05406488230789506,0.00097522021688458,0.13509225572816952,0.026160767884221572,0.559548905018574,0.009422559711836295,0.2537041785309682,0.012835024045463076,0.2113100127137082,0.016195063483728494
genbase,BR,BR (LinearSVC),0.791275090985236,0.016305204882670506,0.9927079531030542,0.005171181278314783,0.0006717129524147068,0.00046938815459181705,0.9818637502848029,0.012673480173979044,0.992740943267259,0.008253318625481468,0.7904761904761906,0.015128019529625161,0.7954673721340388,0.021349095254561395
genbase,BR_Logistic,BR (Logistic Reg),0.6782256582866804,0.032772410367461605,0.9796872089008006,0.004850661142240763,0.00184636675864746,0.0004258711302569005,0.9546821599453178,0.010695295651077349,0.9774434462780327,0.009101578754152375,0.6878306878306877,0.03261594710565597,0.6721164021164021,0.032469011262906064
genbase,BR_MLP,BR (MLP),0.7653315283750066,0.0404467848384224,0.9844582699414403,0.008966543175091173,0.001456503210889176,0.0008530058513593582,0.9637047163362953,0.01733055115504218,0.9896341404475375,0.006026285035522209,0.7557231040564374,0.030672755982417615,0.7831216931216931,0.0581048989182124
genbase,CC,CC (LinearSVC),0.791275090985236,0.016305204882670506,0.9927079531030542,0.005171181278314783,0.0006717129524147068,0.00046938815459181705,0.9818637502848029,0.012673480173979044,0.992740943267259,0.008253318625481468,0.7904761904761906,0.015128019529625161,0.7954673721340388,0.021349095254561395
genbase,CC_MLP,CC (MLP),0.7403297515846535,0.03201889651299256,0.9756188236740815,0.012516964165154808,0.002297410192147034,0.0012001839050684064,0.944030530872636,0.0282165850133058,0.9813507252980939,0.009073954248082886,0.7267607289829512,0.031284190648585085,0.7656559489892822,0.0441201498716349
medical,BR,BR (LinearSVC),0.39447485759520606,0.04144430992020481,0.8177987316637461,0.00565265563308339,0.009774111381581619,0.0004031160298840031,0.673734412758634,0.011883156170951911,0.795350721859842,0.01113259435654256,0.4147451179129492,0.052831448430848395,0.3903544410382894,0.036911356546934435
medical,BR_Logistic,BR (Logistic Reg),0.2843994964427945,0.00851971140905846,0.7943595764355694,0.013159564902691113,0.010379264347207083,0.0004292728060960186,0.6413756515603233,0.01668391714095734,0.7422799142186001,0.020860891925067526,0.3247443531632285,0.012370555677680783,0.26505493460853047,0.007248147218224236
medical,BR_MLP,BR (MLP),0.3736697602513539,0.024008559887425195,0.7944493504316485,0.008375393730730195,0.011480085298770178,0.0005507512179470168,0.642888164974371,0.02394673708323062,0.7866566178105595,0.012259686511205374,0.3787352375008688,0.025179246568600974,0.3838318944092802,0.024337294123091234
medical,CC,CC (LinearSVC),0.40337600911196914,0.045465327054506774,0.8224240205372281,0.014750499615447877,0.009565329313953458,0.0007426651882920055,0.7075898252330267,0.013298984079711142,0.811386600127995,0.018508761772741546,0.4257017709908629,0.05984085702377611,0.39808097367545,0.03713926060957041
medical,CC_MLP,CC (MLP),0.30451962920149933,0.0452813337801652,0.6844385127506751,0.021631404134879028,0.016001803775379107,0.001044442987489371,0.49585053906619014,0.0326297381085937,0.6408376818333599,0.02548364762688201,0.3525712778602981,0.06010301381709047,0.2812772206660184,0.040319401679912444
reuters-k500,BR,BR (LinearSVC),0.27349770675451124,0.017049002510166746,0.4737473363735286,0.014427084012780098,0.011244216187474195,0.00029128379528402975,0.3063303781855012,0.010872993252544691,0.3983567438447732,0.012494387600701162,0.39197593439227224,0.029860142740926292,0.22562407606640095,0.014322576327046496
reuters-k500,BR_Logistic,BR (Logistic Reg),0.16538209264765152,0.008629220739893176,0.3914287283982167,0.014897960480413938,0.01144656741320196,0.00016913759653030164,0.23733719727743868,0.008104612022540314,0.3007916775826346,0.009735145352197948,0.33222177555481613,0.0273403537479418,0.11993392022754627,0.005554670479461315
reuters-k500,BR_MLP,BR (MLP),0.23910743856963723,0.005831887156928808,0.46282031784350774,0.006863113977198313,0.021705399435434668,0.00027166421498099684,0.16514770377953603,0.012635330696743451,0.49918620150908655,0.009252788697162827,0.2334268028226815,0.010739711634694329,0.30549238248905874,0.010064922146583869
reuters-k500,CC,CC (LinearSVC),0.28281855729914074,0.015644735032331453,0.49113749378677357,0.008986730640335915,0.012252669225342724,0.00024269568878274692,0.3794986047195986,0.007131228359553804,0.4779876141062588,0.007752070489686447,0.3816323417584546,0.030134403453031595,0.2469000503451578,0.011383399850617834
reuters-k500,CC_MLP,CC (MLP),0.25895252608519626,0.018251795822723817,0.4449601071640914,0.007077687373875806,0.018390709662033915,0.00028692979395349263,0.2358042544956526,0.01042953038372502,0.4609969749749402,0.00895332613233371,0.264867484727796,0.02443407139849751,0.2820265416383723,0.014705778734711156
