Dataset,Model,Fold,Bin,Absolute Gap,Count,Lower Bound,Mean Predicted Probability,Observed Positive Rate,Upper Bound
music,GSI_MLC_PA_MLP,4,0,0.002121684865944662,206,0.0,0.04581100525429418,0.043689320388349516,0.1
music,GSI_MLC_PA_MLP,4,1,0.02549179195039039,113,0.1,0.1493855972601249,0.12389380530973451,0.2
music,GSI_MLC_PA_MLP,4,2,0.08989496989014711,81,0.2,0.25038879705064093,0.16049382716049382,0.3
music,GSI_MLC_PA_MLP,4,3,0.009751763806414238,67,0.3,0.34845719141746634,0.3582089552238806,0.4
music,GSI_MLC_PA_MLP,4,4,0.028277237687194534,57,0.4,0.44540697283912123,0.47368421052631576,0.5
music,GSI_MLC_PA_MLP,4,5,0.11660792862159619,69,0.5,0.5500587380450704,0.6666666666666666,0.6
music,GSI_MLC_PA_MLP,4,6,0.10256169965633977,52,0.6,0.6474383003436602,0.75,0.7
music,GSI_MLC_PA_MLP,4,7,0.016887720893411062,34,0.7,0.7478181614595301,0.7647058823529411,0.8
music,GSI_MLC_PA_MLP,4,8,0.30545469576662243,22,0.8,0.8509092412211678,0.5454545454545454,0.9
music,GSI_MLC_PA_MLP,4,9,0.08906682638021612,13,0.9,0.9352206725340623,0.8461538461538461,1.0
music,GSI_MLC_PA_MLP,5,0,0.016825936296810867,178,0.0,0.044915823937260305,0.028089887640449437,0.1
music,GSI_MLC_PA_MLP,5,1,0.036353615494511965,139,0.1,0.15146152916357672,0.11510791366906475,0.2
music,GSI_MLC_PA_MLP,5,2,0.013947669948850383,98,0.2,0.2513584525001292,0.2653061224489796,0.3
music,GSI_MLC_PA_MLP,5,3,0.028488153219223045,70,0.3,0.3570595817906516,0.32857142857142857,0.4
music,GSI_MLC_PA_MLP,5,4,0.01758665240035867,53,0.4,0.4515489165513021,0.4339622641509434,0.5
music,GSI_MLC_PA_MLP,5,5,0.10346517375871245,51,0.5,0.5435936497706993,0.6470588235294118,0.6
music,GSI_MLC_PA_MLP,5,6,0.05015732382619109,43,0.6,0.6475170947784601,0.6976744186046512,0.7
music,GSI_MLC_PA_MLP,5,7,0.11363120531213688,29,0.7,0.7484377602051044,0.8620689655172413,0.8
music,GSI_MLC_PA_MLP,5,8,0.13573615948359175,30,0.8,0.8357361594835917,0.7,0.9
music,GSI_MLC_PA_MLP,5,9,0.10722498790077539,23,0.9,0.9333119444225145,0.8260869565217391,1.0
scene,MLC_PA_MLP,1,0,0.002125691319166175,1820,0.0,0.023004812198287053,0.020879120879120878,0.1
scene,MLC_PA_MLP,1,1,0.03881271362304688,300,0.1,0.14547938028971355,0.10666666666666667,0.2
scene,MLC_PA_MLP,1,2,0.04366220729425546,160,0.2,0.24383779270574452,0.2875,0.3
scene,MLC_PA_MLP,1,3,0.022762149572372437,111,0.3,0.34660721979699693,0.36936936936936937,0.4
scene,MLC_PA_MLP,1,4,0.08817198423929107,93,0.4,0.44946242436285944,0.5376344086021505,0.5
scene,MLC_PA_MLP,1,5,0.020571364510443946,62,0.5,0.552829429026573,0.532258064516129,0.6
scene,MLC_PA_MLP,1,6,0.11121605000188273,62,0.6,0.6468484661271495,0.7580645161290323,0.7
scene,MLC_PA_MLP,1,7,0.002185384057602824,53,0.7,0.7525315970744727,0.7547169811320755,0.8
scene,MLC_PA_MLP,1,8,0.024494200139432376,74,0.8,0.8488185244637567,0.8243243243243243,0.9
scene,MLC_PA_MLP,1,9,0.032414903314851196,139,0.9,0.9604724572716857,0.9280575539568345,1.0
scene,MLC_PA_MLP,2,0,0.0028840826137266212,1830,0.0,0.021463317586404216,0.018579234972677595,0.1
scene,MLC_PA_MLP,2,1,0.019126668599035057,280,0.1,0.14412666859903506,0.125,0.2
scene,MLC_PA_MLP,2,2,0.03756380813606716,177,0.2,0.24492206757014753,0.2824858757062147,0.3
scene,MLC_PA_MLP,2,3,0.050026878318955414,113,0.3,0.3482032101766198,0.39823008849557523,0.4
scene,MLC_PA_MLP,2,4,0.007053954733742596,72,0.4,0.4512793785995907,0.4583333333333333,0.5
scene,MLC_PA_MLP,2,5,0.10066972950757558,59,0.5,0.5433980671025939,0.6440677966101694,0.6
scene,MLC_PA_MLP,2,6,0.00796559572219846,50,0.6,0.6479655957221985,0.64,0.7
scene,MLC_PA_MLP,2,7,0.02971676277787716,73,0.7,0.751105155030342,0.7808219178082192,0.8
scene,MLC_PA_MLP,2,8,0.015853516983263427,66,0.8,0.8491868503165968,0.8333333333333334,0.9
scene,MLC_PA_MLP,2,9,0.015611553514325971,148,0.9,0.9615574994602719,0.9459459459459459,1.0
scene,MLC_PA_MLP,3,0,0.0035686993620102185,1850,0.0,0.021947077740388597,0.018378378378378378,0.1
scene,MLC_PA_MLP,3,1,0.011715380618205429,286,0.1,0.1445825134853383,0.13286713286713286,0.2
scene,MLC_PA_MLP,3,2,0.050109675446072144,185,0.2,0.24718762185122517,0.2972972972972973,0.3
scene,MLC_PA_MLP,3,3,0.01669052452371833,114,0.3,0.35002385785705165,0.3333333333333333,0.4
scene,MLC_PA_MLP,3,4,0.007326467931270619,100,0.4,0.4426735320687294,0.45,0.5
scene,MLC_PA_MLP,3,5,0.03664393284741574,68,0.5,0.5513498152003569,0.5147058823529411,0.6
scene,MLC_PA_MLP,3,6,0.06186550962073456,56,0.6,0.6511512239064489,0.5892857142857143,0.7
scene,MLC_PA_MLP,3,7,0.10733167188508164,56,0.7,0.7498111852577755,0.8571428571428571,0.8
scene,MLC_PA_MLP,3,8,0.055507465509267884,65,0.8,0.8555074655092679,0.8,0.9
scene,MLC_PA_MLP,3,9,0.031010382481523435,148,0.9,0.9634428149139559,0.9324324324324325,1.0
scene,MLC_PA_MLP,4,0,0.0025492438673034717,1871,0.0,0.02150206559287825,0.024051309460181722,0.1
scene,MLC_PA_MLP,4,1,0.017665067131617168,268,0.1,0.14651403734599477,0.16417910447761194,0.2
scene,MLC_PA_MLP,4,2,0.051707293998244364,163,0.2,0.24277123360911762,0.294478527607362,0.3
scene,MLC_PA_MLP,4,3,0.017166089740666468,110,0.3,0.3464702738956972,0.36363636363636365,0.4
scene,MLC_PA_MLP,4,4,0.02073158572117484,72,0.4,0.45149063650104737,0.4722222222222222,0.5
scene,MLC_PA_MLP,4,5,0.011960614295232874,63,0.5,0.5435949412603227,0.5555555555555556,0.6
scene,MLC_PA_MLP,4,6,0.0426242272059123,60,0.6,0.6426242272059123,0.6,0.7
scene,MLC_PA_MLP,4,7,0.0025359421479896893,61,0.7,0.751562418507748,0.7540983606557377,0.8
scene,MLC_PA_MLP,4,8,0.018743179525647857,70,0.8,0.8526853919029236,0.8714285714285714,0.9
scene,MLC_PA_MLP,4,9,0.10747141813909689,148,0.9,0.965579526247205,0.8581081081081081,1.0
scene,MLC_PA_MLP,5,0,0.0050734126259171786,1856,0.0,0.022314791936262006,0.017241379310344827,0.1
scene,MLC_PA_MLP,5,1,0.022827881839916547,264,0.1,0.1438387848267501,0.16666666666666666,0.2
scene,MLC_PA_MLP,5,2,0.0022780108525886356,161,0.2,0.25072521582153273,0.2484472049689441,0.3
scene,MLC_PA_MLP,5,3,0.011777238713370441,108,0.3,0.34933387239774066,0.3611111111111111,0.4
scene,MLC_PA_MLP,5,4,0.004955622087042033,83,0.4,0.44082751044307844,0.4457831325301205,0.5
scene,MLC_PA_MLP,5,5,0.03693543023922874,68,0.5,0.5516413125921699,0.5147058823529411,0.6
